Peptide ID	Basal1	Basal2	Basal3	Basal4	Insulin1	Insulin2	Insulin3	Insulin4
Q6KCD5; Q6KCD5-2_peptide1	5955277.5	3089017.669	2178049.757	NA	2979698.695	4210884.077	1845315.186	NA
Q6KCD5_peptide1	5515112.5	5055950.044	4095558.322	4671673.341	NA	3831110.495	3560715.312	4618756.514
Q6KCD5_peptide2	61741464	29567058.95	9714902.161	3286220.148	18685155.97	25428131.33	7477734.543	4468304.713
Q6KCD5-2_peptide1	13569190	33043076.06	9620515.319	14141647.33	19960580.39	25868028.2	21743718.66	18751823.21
Q9Z1S8_peptide1	NA	NA	NA	NA	8306917.677	5288478.543	7749389.446	4904250.406
P47968_peptide1	12227647.75	18792816.39	10170904.02	12429299.45	16172499.72	19658852.58	18211219.47	26920989.94
Q64318_peptide1	2417125.75	NA	NA	NA	NA	NA	NA	NA
Q02788_peptide1	16499874	45913740.85	22809109.79	25018922.49	40800862.69	49349875.17	28658827.79	32572444.49
Q99NH2_peptide1	18492294	14394444.24	16881081.55	17909436.68	11935637.15	13760437.88	14599019.77	12182427.74
Q99NH2_peptide2	6725039	5991680.631	5596968.13	6834841.508	6309355.457	4400494.556	5922890.612	5526950.859
Q8K2X3_peptide1	8860612	12735930.5	11623423.62	15130028.45	10709793.21	13352901.75	12000098.05	12289285.74
Q8BGT6_peptide1	80499056	112368508	114776055.6	132826772.9	102653025.5	121864247.2	113038823.4	126225360.9
E9Q3E1_peptide1	5044210	8648032.846	8280136.378	8181294.632	7923775.48	8294588.651	8221702.967	6316091.748
P07901_peptide1	2086650.75	2361350.327	1963203.048	NA	2805659.272	3490505.704	2710470.11	1207863.402
P11499_peptide1	9459617	13487697.16	13418489.69	19160825.7	10783267.39	13254177.88	13389947.15	17322892.02
O08601_peptide1	NA	1498134.077	1484361.461	NA	1936986.004	1614367.084	1727494.898	NA
Q9DBP5_peptide1	2844164.25	3251758.778	4340455.976	3847212.387	4116663.681	4066942.152	3369848.605	3683633.196
Q8C3P7_peptide1	644043.125	600090.7273	619251.7195	NA	NA	NA	NA	4363263.207
Q9DCD0_peptide1	294644.875	1730041.509	1322492.039	1109178.881	621986.1603	1807029.239	928421.6025	1702228.05
Q3URQ0_peptide1	NA	NA	934539.5074	603441.4925	NA	NA	NA	561371.7916
P47962_peptide1	32753165.75	52635171.99	46828418.69	43326823.29	29637419.2	41551934.95	39005843.24	35742443.17
E9Q394_peptide2	11028690	11750529.78	11235508.27	4106618.683	7002244.953	6682524.003	8732859.266	8780050.062
P47968_peptide2	2047382.75	3006625.207	3419868.558	3743157.532	2628906.623	3488746.346	3232700.318	4001669.913
P17225_peptide1	2686758.25	4613707.127	4272361.461	3999122.989	4005894.654	4680704.04	5217063.44	4824156.205
Q8K5B2_peptide1	4898004	5969067.486	4393123.29	4503152.143	6082249.731	5989013.865	4190955.528	5237535.582
Q8R4U7_peptide1	7219342	6375252.725	11061583.57	10299528.97	7608056.05	4932875.778	8726203.413	7913474.675
Q62186_peptide1	5726408	9287539.608	11020189.14	11442881.04	8277528.067	8554668.116	11768657.77	12748024.8
Q8R5H1_peptide1	1564486.625	2401200.993	1948336.072	2300563.318	1563354.593	1247788.413	195943.4378	981859.1376
Q9CXW4_peptide1	5863618.723	24224847.57	29908597.33	35826201.33	8543107.199	25218426.52	32894338.87	44625964.51
Q9CPS6_peptide1	8965645	12165783.92	13680160.82	13889024.62	11570592.68	11561872.34	13742270.97	12203039.4
