From	To
Q9D051	68263
Q8VDV3	74760
Q91VM5	19656
O88845	56697
Q80TH2	59079
Q56A10	269023
Q9Z1D1	53356
Q8K4G5	226251
P05627	16476
Q3UTZ3	231807
Q7TT18	54343
Q9CQC9	66397
Q52KI8	51796
P48377	19724
Q8C8U0	67533
P97310	17216
Q6NZE7	78755
Q8BX09	213464
Q9CQS4	67453
Q8K382	227801
Q76MZ3	51792
Q570Y9	97998
P81117	53322
P47934	12908
Q8R550	58194
Q6ZPZ3	330474
Q60575	16561
P61358	19942
P08003	12304
Q8R0W0	223650
Q8CIN4	224105
P70193	16206
Q61127	17937
Q8BWQ6	71517
O09044	20619
Q3TUF7	208146
Q8C0E3	217333
Q99PL5	81910
Q811L6	328329
Q01237	15357
Q3UDW8	52120
Q8C5N3	80744
Q8BZR9	66874
Q99P88	170762
A2AJ88	241274
Q9Z2A7	13350
Q8BGF7	103135
P59913	319263
Q91V09	73447
Q8VE37	100088
Q64727	22330
Q8CIE6	12847
Q9QVP9	19229
Q3UKC1	52440
Q91VR2	11949
Q8C163	208194
Q8K019	72567
P59764	238130
Q9JKQ4	54352
Q64010	12928
O35129	12034
Q5BL07	71382
Q8C6M1	74270
P35639	13198
Q69ZF7	94220
Q9JKS5	56541
Q9R0A1	12724
O88888	57267
Q3UVR3	140810
P49282	18174
Q9QZD8	27376
Q921G7	66841
Q8BMB0	233545
Q9ESV0	27225
Q8C5L3	72068
O88844	15926
Q9ERH7	15259
Q62419	20405
Q99K24	106947
O35551	54189
A6H619	101471
Q8CCJ9	239510
Q8VEK3	51810
Q60864	20867
Q04735	18555
Q9CY45	68043
Q3U3E2	72750
P63038	15510
Q9WUA3	56421
Q9D684	74030
Q6GYP7	56784
Q921K9	12054
Q9EP97	80886
P06151	16828
Q812A5	109270
Q9CQ26	70527
Q8JZP9	78926
Q9JHU4	13424
Q9CZ62	74201
Q5XJV7	72895
P54728	19359
P14211	12317
Q8BMK4	216197
Q99NH2	93742
Q99NH0	81702
Q8K010	75475
Q80TY5	666173
Q8BGU5	67974
Q99020	15384
Q6P5F9	103573
Q8R361	52055
Q91WG2	70314
P22893	22695
Q80WC1	320538
Q76KF0	214968
Q924K8	116871
P61205	11842
Q8R5A3	54519
Q8K2J0	72469
Q9D281	68303
Q9WTP2	24066
Q99KI0	11429
Q9Z2Q2	66356
Q8VEG6	231464
Q4VA53	100710
Q8C079	229707
Q9DCW4	110826
P59178	214669
Q3U898	66915
Q60902	13859
Q5SF07	319765
Q9CPN8	140488
P58044	319554
Q9DBY1	74126
Q8BH07	65103
Q8CGN5	103968
Q9CQ62	67460
P70121	22770
Q28107	280687
Q9CYC6	70640
Q9D9B7	76627
Q6PDH4	223332
Q8JZZ6	225339
Q9DBN4	97820
Q5SVR0	76795
B2RXR6	329154
Q3UXZ9	214899
Q8BIJ7	216724
Q69ZL1	13998
Q8BX70	320528
Q8C2Q3	56275
Q9EQP2	98878
Q920E5	110196
P24270	12359
Q8BWJ3	110094
Q7TSH8	71947
Q6PAM1	109658
Q9ES28	54126
Q6A068	71702
P47968	19895
P17751	21991
B2RX14	230594
Q9D483	74414
Q9CU65	76007
P15261	15979
P10649	14862
P35235	19247
Q8R3Y5	66367
Q9D666	77053
Q8BSF4	320951
Q8CIV2	216157
P09242	11647
Q8K2K6	15463
Q02788	12834
Q9CPQ3	223696
Q9DB90	71997
Q3TQF0	76454
P01966	100140149
P01966	512439
P97798	18007
Q8CI08	75991
O08528	15277
Q922Q8	98238
Q8CBY3	232798
P54116	13830
P70279	20935
Q9EPB5	68607
P55264	11534
Q6P5F7	78339
Q8K5B2	193813
Q8CFE6	67760
O08784	21453
Q8R0A0	68705
P08074	12409
P70451	14158
Q8K1L5	76497
Q91VU8	84113
Q99PL6	66530
Q9QYR9	171210
Q9D074	17237
Q6PAM0	108097
Q9R0U0	14105
P68510	22629
Q9D819	67895
Q8VBW6	234664
Q9DCB1	94353
Q8K0L9	56490
Q80TQ5	69582
A2AKB9	242418
Q99NG0	81000
P28474	11532
Q8R3Y8	272359
Q8BL97	225027
Q9DCB4	74100
Q71LX4	70549
P09411	18655
Q80TR8	321006
P50396	14567
Q99PU7	104416
Q9D3B1	70757
Q9D1J1	66147
Q6PAL8	19347
P54310	16890
Q9R1P3	26445
Q9CYA6	70650
Q8BPN8	235380
Q3KNM2	69104
Q9QUI0	11848
P38060	15356
Q7TSH3	329003
Q6A4J8	252870
Q9EPC1	57342
Q62407	11790
Q8C5W3	272589
P14869	11837
Q60665	20482
Q505F5	72946
Q80YS6	70292
O35945	26358
P97379	23881
Q8BT07	74107
O08599	20910
Q8R149	215051
Q8C0V9	319710
B1AZP2	228836
B1AVY7	16558
P34884	17319
P02081	511735
P05064	11674
P15105	14645
A2AF47	75974
P99027	67186
E9Q4F7	77087
P97820	26921
P41216	14081
P07356	12306
Q6VNB8	72145
Q8C4Y3	58202
Q80W47	74781
Q61464	18139
O35730	19763
Q4VBD9	74533
Q8VCK6	233079
Q80WG5	241296
Q60676	19060
Q9ESJ0	57258
Q8CH18	67500
Q9CVD2	110616
Q8K371	56332
Q9ERG2	94186
Q9QYK7	29864
Q61033	21917
Q8R3S6	69940
Q8K009	216188
P37238	19016
O35841	11800
P70195	19177
P17225	19205
P62827	19384
Q99MP8	72399
Q9DCD5	74094
O35326	20384
O35493	12750
P22518	12747
Q9D0K2	67041
Q8K1N2	208177
Q6P542	224742
Q8CIB5	218952
Q8BQM4	234549
Q3UJD6	71472
A2AG50	78283
